cid,id,S,F,SF,T,R,DD,tS,band,fails,grade,universe,neutralization,decay,truncation,delay,submitted,expr,maxcorr,nearest
w80_c,WjPx1mjd,2.39,1.7,4.09,0.2171,0.1092,0.0519,1.46,C,,GOOD,TOP3000,SUBINDUSTRY,4,0.08,1,N,"group_rank((anl4_fs_detail_estimate_1qf_v4_nd_cff_high - anl4_fs_detail_estimate_1qf_v4_nd_cff_low) / abs(anl4_fs_detail_estimate_1qf_v4_nd_cff_mean), subindustry) + group_rank(anl4_fs_detail_estimate_1qf_v4_nd_netdebt_high/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 75), subindustry) + group_rank(-ts_delta(close, 8), subindustry) + rank(volume/ts_mean(volume, 150))",0.7881,e79PvPpE
w32_k,O0rJObeJ,2.25,2.01,4.26,0.1426,0.1136,0.0623,1.77,C,,EXCELLENT,TOP3000,SUBINDUSTRY,8,0.08,1,N,"group_rank(fnd6_mfma2_revt/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 30), subindustry) + group_rank(fnd6_xopr/assets, subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))",0.7888,RRVLeabj
w42_c,kqV89LJd,2.49,2.49,4.98,0.1183,0.1247,0.039,1.74,C,,EXCELLENT,TOP3000,SUBINDUSTRY,35,0.08,1,N,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))",0.79,RRV5l5Go
w87_h,xAYEYdRq,2.35,1.97,4.32,0.0899,0.0874,0.029,1.43,C,,GOOD,TOP3000,SUBINDUSTRY,6,0.08,1,N,"group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(anl4_fs_detail_estimate_1qf_v4_nd_sga_median/assets, subindustry) + 0.35*group_rank(ts_av_diff(cash/assets, 45), subindustry) + 0.35*group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + 0.35*group_rank(-ts_delta(close, 10), subindustry) + 0.35*rank(volume/ts_mean(volume, 120))",0.7905,e79PvPpE
w114_n,O0rdjnrv,2.72,1.9,4.62,0.2514,0.1233,0.0431,2.0,C,,AVERAGE,TOP3000,SUBINDUSTRY,4,0.08,0,N,"group_rank(fnd6_tstkc/assets, bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(fnd6_lifr/assets, bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cash/assets, 45), bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(-ts_delta(close, 2), bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(volume/ts_mean(volume, 60), bucket(rank(cap), range=""0.1, 1, 0.1""))",0.7906,akLp3pzW
w42_f,N1QK8ezq,2.48,2.5,4.98,0.1215,0.1267,0.038,1.42,C,,EXCELLENT,TOP3000,SUBINDUSTRY,30,0.08,1,N,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 90))",0.791,RRV5l5Go
w55_c,le8Evzp8,2.8,2.88,5.68,0.0997,0.1324,0.0305,1.9,A,,EXCELLENT,TOP3000,SUBINDUSTRY,14,0.08,0,N,"quantile(group_rank(fnd6_xrent/assets, subindustry)) + quantile(group_rank(ts_av_diff(cash/assets, 45), subindustry)) + quantile(group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry)) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))",0.7918,RRV5l5Go
f09_sector_grp,le8lQ3n7,2.53,1.96,4.49,0.2211,0.1324,0.0448,1.87,C,,GOOD,TOP3000,SUBINDUSTRY,8,0.08,1,N,"group_rank(liabilities_curr/assets, sector) + rank(-ts_delta(close, 2))",0.7926,9qX3M2mq
w42_e,6XrGNe8L,2.43,2.38,4.81,0.1238,0.12,0.0391,1.7,C,,EXCELLENT,TOP3000,SUBINDUSTRY,30,0.08,1,N,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 40))",0.7936,RRV5l5Go
w41_a,wpYNPJld,2.52,2.54,5.06,0.1226,0.1266,0.0389,1.78,B,,SPECTACULAR,TOP3000,SUBINDUSTRY,30,0.08,1,N,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))",0.7937,RRV5l5Go
w58_g,vRkZO1qw,2.74,1.49,4.23,0.4975,0.1463,0.0637,3.82,C,,AVERAGE,TOP3000,SUBINDUSTRY,2,0.1,1,N,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))",0.7939,rK59235m
w58_b,xAYV1mnp,2.74,1.49,4.23,0.4976,0.1463,0.0636,3.83,C,,AVERAGE,TOP3000,SUBINDUSTRY,2,0.08,1,N,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))",0.794,rK59235m
w114_b,P0ZLAN9J,2.76,1.85,4.61,0.2621,0.1172,0.044,2.21,C,,GOOD,TOP3000,SUBINDUSTRY,4,0.08,1,N,"group_rank(fnd6_newqv1300_fcaq/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(fnd6_newqv1300_tfvceq/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cash/assets, 45), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(-ts_delta(close, 2), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(volume/ts_mean(volume, 60), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))",0.7942,e79PvPpE
w43_g,om6Pkzak,2.53,2.55,5.08,0.1277,0.1296,0.0375,1.48,B,,SPECTACULAR,TOP3000,SUBINDUSTRY,25,0.08,1,N,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 90))",0.7946,RRV5l5Go
