leg,appear,pass_quality,pass_rate
"group_rank(fnd6_lifr/assets, bucket(rank(cash/assets), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_newqv1300_txdbq/assets, bucket(rank(cash/assets), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_intc/assets, bucket(rank(cash/assets), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(ts_av_diff(cash/assets, 45), bucket(rank(cash/assets), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(cash/assets), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(-ts_delta(close, 2), bucket(rank(cash/assets), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_tstkc/assets, bucket(rank(ts_rank(volume, 250)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_cicurr/assets, bucket(rank(ts_rank(volume, 250)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_intc/assets, bucket(rank(ts_rank(volume, 250)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(ts_av_diff(cash/assets, 45), bucket(rank(ts_rank(volume, 250)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(ts_rank(volume, 250)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(-ts_delta(close, 2), bucket(rank(ts_rank(volume, 250)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_tfvce/assets, bucket(rank(ts_delta(close, 120)), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(fnd6_newqv1300_lnoq/assets, bucket(rank(ts_delta(close, 120)), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(fnd6_newqv1300_xoptq/assets, bucket(rank(ts_delta(close, 120)), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(ts_av_diff(cash/assets, 45), bucket(rank(ts_delta(close, 120)), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(ts_delta(close, 120)), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(-ts_delta(close, 2), bucket(rank(ts_delta(close, 120)), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(fnd6_lifr/assets, bucket(rank(ts_rank(cap, 250)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_newqv1300_lnoq/assets, bucket(rank(cap), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_newqv1300_glcea12/assets, bucket(rank(cap), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_newqv1300_xoptq/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_intc/assets, bucket(rank(debt/assets), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_lifr/assets, bucket(rank(debt/assets), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_tstkc/assets, bucket(rank(capex/assets), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_lifr/assets, bucket(rank(capex/assets), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_intc/assets, bucket(rank(capex/assets), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_cicurr/assets, bucket(rank(cashflow_op/assets), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_tfvce/assets, bucket(rank(cashflow_op/assets), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_newqv1300_glcea12/assets, bucket(rank(ebitda/enterprise_value), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_tstkc/assets, bucket(rank(ebitda/enterprise_value), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_intc/assets, bucket(rank(ts_std_dev(volume, 20)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_tfvce/assets, bucket(rank(ts_std_dev(volume, 20)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_lifr/assets, bucket(rank(ts_std_dev(volume, 20)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(ts_av_diff(cash/assets, 45), bucket(rank(ts_std_dev(volume, 20)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(ts_std_dev(volume, 20)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(-ts_delta(close, 2), bucket(rank(ts_std_dev(volume, 20)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_newqv1300_lnoq/assets, bucket(rank(debt_lt/assets), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(-ts_delta(close, 2), bucket(rank(debt_lt/assets), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(fnd6_newqv1300_glcea12/assets, bucket(rank(assets_curr/assets), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_intc/assets, bucket(rank(assets_curr/assets), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_newqv1300_xoptq/assets, bucket(rank(assets_curr/assets), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(ts_av_diff(cash/assets, 45), bucket(rank(assets_curr/assets), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(assets_curr/assets), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(-ts_delta(close, 2), bucket(rank(assets_curr/assets), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_tfvce/assets, bucket(rank(sales_growth), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(fnd6_tstkc/assets, bucket(rank(sales_growth), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(fnd6_cicurr/assets, bucket(rank(sales_growth), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(ts_av_diff(cash/assets, 45), bucket(rank(sales_growth), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(sales_growth), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(-ts_delta(close, 2), bucket(rank(sales_growth), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(fnd6_lifr/assets, bucket(rank(ts_delta(sales, 250)), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(fnd6_newqv1300_txdbq/assets, bucket(rank(ts_delta(sales, 250)), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(fnd6_newqv1300_glcea12/assets, bucket(rank(ts_delta(sales, 250)), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(ts_av_diff(cash/assets, 45), bucket(rank(ts_delta(sales, 250)), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(ts_delta(sales, 250)), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(-ts_delta(close, 2), bucket(rank(ts_delta(sales, 250)), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(fnd6_intc/assets, bucket(rank(ts_corr(close, volume, 60)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_newqv1300_lnoq/assets, bucket(rank(ts_corr(close, volume, 60)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_tfvce/assets, bucket(rank(ts_corr(close, volume, 60)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(ts_av_diff(cash/assets, 45), bucket(rank(ts_corr(close, volume, 60)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(ts_corr(close, volume, 60)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(-ts_delta(close, 2), bucket(rank(ts_corr(close, volume, 60)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_tstkc/assets, bucket(rank(ts_std_dev(returns, 250)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_newqv1300_glcea12/assets, bucket(rank(ts_std_dev(returns, 250)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_newqv1300_xoptq/assets, bucket(rank(ts_std_dev(returns, 250)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(ts_av_diff(cash/assets, 45), bucket(rank(ts_std_dev(returns, 250)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(ts_std_dev(returns, 250)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(-ts_delta(close, 2), bucket(rank(ts_std_dev(returns, 250)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_pncepsq/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_newq_xoptepsqp/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_newqv1300_tfvceq/assets, bucket(rank(capex/assets), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(fnd6_newqv1300_glcea12/assets, bucket(rank(capex/assets), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(fnd6_tfvce/assets, bucket(rank(capex/assets), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(fnd6_newqv1300_xoptq/assets, bucket(rank(ebitda/enterprise_value), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(fnd6_lifr/assets, bucket(rank(ebitda/enterprise_value), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(-ts_av_diff(vec_avg(anl4_basicdetailrec_ratingvalue), 120), bucket(rank(ts_rank(cap, 250)), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(-ts_av_diff(vec_avg(anl4_fs_detail_rec_v4_nd_estimate), 120), bucket(rank(ts_rank(cap, 250)), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(fnd6_lifr/assets, bucket(rank(sales/assets), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(-ts_av_diff(vec_avg(anl4_basicdetailrec_ratingvalue), 120), bucket(rank(sales/assets), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(if_else(rank(ts_regression(rank(returns), rank(vec_avg(anl4_fs_detail_rec_v4_nd_estimate)), 120, lag=0, rettype=2))>0.6, -ts_av_diff(vec_avg(anl4_fs_detail_rec_v4_nd_estimate), 120), 0), bucket(rank(ts_rank(cap, 250)), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(vec_avg(anl4_total_rec), bucket(rank(ts_rank(cap, 250)), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(fnd6_intc/assets, bucket(rank(debt_lt/assets), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(-ts_av_diff(vec_avg(anl4_eaz2lrec_ratingvalue), 120), bucket(rank(debt_lt/assets), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(-ts_av_diff(ts_mean(vec_avg(anl4_basicdetailrec_ratingvalue), 20), 120), bucket(rank(ts_rank(cap, 250)), range=""0.1, 1, 0.1""))",1,0,0.0
"rank(ts_regression(rank(returns), rank(vec_avg(anl4_basicdetailrec_ratingvalue)), 120, lag=0, rettype=2))>0.6 ? 1 - rank(ts_av_diff(vec_avg(anl4_basicdetailrec_ratingvalue), 120)) : 0",1,0,0.0
"group_neutralize(rank(ts_regression(rank(returns), rank(vec_avg(anl4_basicdetailrec_ratingvalue)), 120, lag=0, rettype=2))>0.6 ? 1 - rank(ts_av_diff(vec_avg(anl4_basicdetailrec_ratingvalue), 120)) : 0, bucket(rank(ts_rank(cap, 250)), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(if_else(rank(ts_regression(rank(returns), rank(vec_avg(anl4_basicdetailrec_ratingvalue)), 120, lag=0, rettype=2))>0.6, -ts_av_diff(vec_avg(anl4_basicdetailrec_ratingvalue), 120), 0), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_cicurr/assets, bucket(rank(sales/assets), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(if_else(rank(ts_regression(rank(returns), rank(vec_avg(anl4_basicdetailrec_ratingvalue)), 120, lag=0, rettype=2))>0.6, -ts_av_diff(vec_avg(anl4_basicdetailrec_ratingvalue), 120), 0), bucket(rank(sales/assets), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(if_else(rank(ts_regression(rank(returns), rank(vec_avg(anl4_fs_detail_rec_v4_nd_estimate)), 120, lag=0, rettype=2))>0.6, -ts_av_diff(vec_avg(anl4_fs_detail_rec_v4_nd_estimate), 120), 0), bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_newqv1300_glcea12/assets, bucket(rank(cashflow_op/assets), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_tstkc/assets, bucket(rank(cashflow_op/assets), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(if_else(rank(ts_regression(rank(returns), rank(vec_avg(anl4_basicdetailrec_ratingvalue)), 120, lag=0, rettype=2))>0.6, -ts_av_diff(vec_avg(anl4_basicdetailrec_ratingvalue), 120), 0), bucket(rank(cashflow_op/assets), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(if_else(rank(ts_regression(rank(returns), rank(vec_avg(anl4_eaz2lrec_ratingvalue)), 120, lag=0, rettype=2))>0.6, -ts_av_diff(vec_avg(anl4_eaz2lrec_ratingvalue), 120), 0), bucket(rank(ts_rank(cap, 250)), range=""0.1, 1, 0.1""))",1,1,1.0
"0.5*group_rank(if_else(rank(ts_regression(rank(returns), rank(vec_avg(anl4_basicdetailrec_ratingvalue)), 120, lag=0, rettype=2))>0.6, -ts_av_diff(vec_avg(anl4_basicdetailrec_ratingvalue), 120), 0), bucket(rank(ts_rank(cap, 250)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(if_else(rank(ts_regression(rank(returns), rank(vec_avg(anl4_basicdetailrec_ratingvalue)), 120, lag=0, rettype=0))>0.6, -ts_av_diff(vec_avg(anl4_basicdetailrec_ratingvalue), 120), 0), bucket(rank(ts_rank(cap, 250)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(if_else(rank(ts_regression(rank(returns), rank(vec_avg(anl4_basicdetailrec_ratingvalue)), 120, lag=0, rettype=3))>0.6, -ts_av_diff(vec_avg(anl4_basicdetailrec_ratingvalue), 120), 0), bucket(rank(ts_rank(cap, 250)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_newqv1300_fcaq/assets, subindustry)",1,0,0.0
"group_rank(-fnd6_newqv1300_rcpq/assets, subindustry)",1,0,0.0
"group_rank(fnd6_newqv1300_rdipaq/assets, subindustry)",1,0,0.0
"group_rank(fnd6_mkvaltq, subindustry)",1,0,0.0
"rank(-ts_arg_max(close, 20))",1,0,0.0
"group_zscore(ts_av_diff(cash/assets, 30), subindustry)",1,0,0.0
"group_rank(fnd6_lno/assets, subindustry)",1,0,0.0
"group_rank(fnd6_txdfo/assets, subindustry)",1,0,0.0
"group_rank(fnd6_txtubxintbs/assets, subindustry)",1,0,0.0
"group_rank(fscore_bfl_quality, subindustry)",1,0,0.0
"group_rank(-beta_last_30_days_spy, subindustry)",1,0,0.0
"group_rank(-implied_volatility_mean_skew_60, subindustry)",1,0,0.0
"group_rank(-implied_volatility_mean_skew_20, subindustry)",1,0,0.0
"group_rank(-scl12_buzz_fast_d1, subindustry)",1,0,0.0
"group_rank(-snt_buzz_bfl_fast_d1, subindustry)",1,0,0.0
"group_rank(scl12_sentiment_fast_d1, subindustry)",1,0,0.0
"group_rank(fnd6_newqv1300_glced12/assets, subindustry)",1,0,0.0
"group_rank(fnd6_newqv1300_glceeps12/assets, subindustry)",1,0,0.0
"group_rank(fnd6_newqv1300_pncq/assets, subindustry)",1,0,0.0
"group_rank(fnd6_newqv1300_prcaq/assets, subindustry)",1,0,0.0
"group_rank(fnd6_newqv1300_prcdq/assets, subindustry)",1,0,0.0
"group_rank(fnd6_newqv1300_rdipepsq/assets, subindustry)",1,0,0.0
"group_rank(fnd6_newqv1300_spcedq/assets, subindustry)",1,0,0.0
"group_rank(fnd6_newa2v1300_xopteps/assets, subindustry)",1,0,0.0
"group_rank(fnd6_newqv1300_xoptq/assets, subindustry)",1,0,0.0
"group_rank(fnd6_newq_xoptepsqp/assets, subindustry)",1,0,0.0
"group_rank(fnd6_pncdq/assets, subindustry)",1,0,0.0
"group_rank(fnd6_pncepsq/assets, subindustry)",1,0,0.0
"trade_when(volume > ts_mean(volume, 20), group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 30), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60)), -1)",1,0,0.0
"group_rank(ts_av_diff(cash/assets, 35), subindustry)",1,1,1.0
"group_rank(ts_av_diff(cash/assets, 55), subindustry)",1,1,1.0
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 105), subindustry)",1,1,1.0
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 50), subindustry)",1,1,1.0
"group_rank(ts_av_diff(cash/assets, 48), subindustry)",1,1,1.0
"quantile(group_rank(fnd6_xrent/assets, subindustry))",1,1,1.0
"quantile(group_rank(ts_av_diff(cash/assets, 45), subindustry))",1,1,1.0
"quantile(group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry))",1,1,1.0
"trade_when(volume > ts_mean(volume, 20), group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60)), -1)",1,1,1.0
"ts_decay_linear(group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60)), 5)",1,1,1.0
"group_rank(ts_av_diff(cash/assets, 42), subindustry)",1,1,1.0
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 42), subindustry)",1,1,1.0
"group_neutralize(group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60)), industry)",1,1,1.0
"group_rank(ts_av_diff(cash/assets, 44), subindustry)",1,1,1.0
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 46), subindustry)",1,1,1.0
"group_rank(ts_av_diff(cash/assets, 46), subindustry)",1,1,1.0
"group_rank(ts_av_diff(anl4_fs_detail_estimate_1qf_v4_nd_totassets_median/assets, 60), subindustry)",1,1,1.0
"group_rank(ts_av_diff(anl4_fs_detail_estimate_1qf_v4_nd_sga_median/assets, 60), subindustry)",1,0,0.0
"group_rank(fnd6_dxd2/assets, subindustry)",1,1,1.0
"group_rank(fnd6_tfvl/assets, subindustry)",1,0,0.0
"group_rank(-anl4_fs_detail_estimate_1qf_v4_nd_netdebt_mean/assets, subindustry)",1,1,1.0
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_grossincome_high/assets, subindustry)",1,1,1.0
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_ptpr_high/assets, subindustry)",1,1,1.0
"group_rank(debt_st/assets, industry)",1,0,0.0
"group_rank(ts_mean(snt_value_fast_d1, 5), industry)",1,0,0.0
"group_rank(forward_price_20 / close, industry)",1,0,0.0
"group_rank(forward_price_90 / close, industry)",1,0,0.0
"group_rank(ts_mean(news_mins_4_pct_up, 5), industry)",1,0,0.0
"group_rank(news_max_up_amt / close, industry) - group_rank(news_mins_4_pct_dn, industry)",1,0,0.0
"group_rank(news_mins_1_pct_up - news_mins_1_pct_dn, industry)",1,0,0.0
"group_rank(close / news_eod_low - 1, industry)",1,0,0.0
"group_rank(news_open_gap, industry)",1,0,0.0
"group_rank(news_curr_vol / ts_mean(news_curr_vol, 20), industry)",1,0,0.0
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_cff_high/assets, industry)",1,0,0.0
"group_rank(fnd6_newqv1300_prcaq/assets, industry)",1,0,0.0
"group_rank(fnd6_newqv1300_spceepsq/assets, industry)",1,0,0.0
"group_rank(fnd6_newqv1300_spceq/assets, industry)",1,0,0.0
"group_rank(fnd6_newqv1300_glced12/assets, industry)",1,0,0.0
"group_rank(anl4_fs_actuals_basic_qf_nd_div_value/assets, industry)",1,0,0.0
"group_rank(fnd6_newq_xoptdqp/assets, industry)",1,0,0.0
"group_rank(fnd6_newqv1300_pncq/assets, industry)",1,0,0.0
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 90), industry)",1,0,0.0
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 75), industry)",1,1,1.0
"trade_when(ts_rank(volume, 5) > 0.2, group_rank(anl4_fs_actuals_basic_qf_nd_div_value/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), industry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60)), -1)",1,1,1.0
"trade_when(ts_rank(volume, 5) > 0.2, group_rank(anl4_fs_detail_estimate_1qf_v4_nd_totgw_median/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60)), -1)",1,1,1.0
"trade_when(ts_rank(ts_std_dev(returns, 20), 120) < 0.7, group_rank(anl4_fs_detail_estimate_1qf_v4_nd_cfi_low/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120)), -1)",1,0,0.0
"group_rank((anl4_fs_detail_estimate_1qf_v4_nd_cff_high - anl4_fs_detail_estimate_1qf_v4_nd_cff_low) / abs(anl4_fs_detail_estimate_1qf_v4_nd_cff_mean), subindustry)",1,1,1.0
"group_rank((anl4_fs_detail_estimate_1qf_v4_nd_totassets_high - anl4_fs_detail_estimate_1qf_v4_nd_totassets_low) / abs(anl4_fs_detail_estimate_1qf_v4_nd_totassets_median), subindustry)",1,0,0.0
"group_rank((anl4_fs_detail_estimate_1qf_v4_nd_cff_high - anl4_fs_detail_estimate_1qf_v4_nd_cff_low) / abs(anl4_fs_detail_estimate_1qf_v4_nd_cff_mean), industry)",1,0,0.0
"group_rank(ts_zscore(close, 120), subindustry)",1,0,0.0
"group_rank(ts_corr(rank(close), rank(volume), 20), subindustry)",1,0,0.0
"group_rank(close/vwap - 1, subindustry)",1,0,0.0
"group_rank(ts_delta(close, 20), subindustry)",1,0,0.0
"group_neutralize(rank(anl4_fs_detail_estimate_1qf_v4_nd_cfi_low/assets) + rank(anl4_fs_detail_estimate_1qf_v4_nd_sga_median/assets) + rank(ts_av_diff(cash/assets, 75)) + rank(ts_av_diff(cashflow_op/enterprise_value, 60)), subindustry)",1,0,0.0
"group_rank(ts_zscore(returns, 60), subindustry)",1,0,0.0
"group_rank(ts_std_dev(returns, 20), subindustry)",1,0,0.0
"quantile(group_rank(anl4_fs_detail_estimate_1qf_v4_nd_rd_exp_high/assets, subindustry) + group_rank(anl4_fs_detail_estimate_1qf_v4_nd_netdebt_high/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120)), driver=gaussian)",1,1,1.0
"ts_decay_linear(group_rank(anl4_fs_detail_estimate_1qf_v4_nd_rd_exp_high/assets, subindustry) + group_rank(anl4_fs_detail_estimate_1qf_v4_nd_netdebt_high/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120)), 10)",1,1,1.0
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_rd_exp_high/assets, market)",1,0,0.0
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_netdebt_high/assets, market)",1,0,0.0
"group_rank(ts_av_diff(cash/assets, 45), market)",1,0,0.0
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), market)",1,0,0.0
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_sga_median/assets, bucket(rank(volume), range=""0,1,0.33""))",1,1,1.0
"hump(trade_when(ts_rank(volume, 5) > 0.5, group_rank(anl4_fs_detail_estimate_1qf_v4_nd_rd_exp_high/assets, subindustry) + group_rank(anl4_fs_detail_estimate_1qf_v4_nd_cfi_low/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120)), -1), hump=0.008)",1,0,0.0
"normalize(group_rank(anl4_fs_detail_estimate_1qf_v4_nd_totgw_median/assets, subindustry) + group_rank(anl4_fs_detail_estimate_1qf_v4_nd_netdebt_high/assets, subindustry) + group_rank(ts_zscore(cash/assets, 120), subindustry) + group_rank(ts_zscore(cashflow_op/enterprise_value, 120), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120)), useStd=true)",1,0,0.0
"group_rank(ts_zscore(cash/assets, 90), subindustry)",1,0,0.0
"group_rank(ts_zscore(cashflow_op/enterprise_value, 90), subindustry)",1,0,0.0
"group_rank(-ts_delta(close, 6), subindustry)",1,0,0.0
"rank(volume/ts_mean(volume, 110))",1,0,0.0
"rank(volume/ts_mean(volume, 140))",1,0,0.0
"group_rank(ts_zscore(close, 15), subindustry)",1,0,0.0
"0.15*group_rank(-ts_delta(close, 10), subindustry)",1,0,0.0
"0.15*rank(volume/ts_mean(volume, 120))",1,0,0.0
"trade_when(ts_rank(volume, 5) > 0.5, group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120)), -1)",1,1,1.0
"2*group_rank(authorized_stock_buyback_amount/assets, subindustry)",1,0,0.0
"0.3*group_rank(ts_av_diff(cash/assets, 45), subindustry)",1,1,1.0
"0.3*group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry)",1,1,1.0
"0.25*group_rank(ts_av_diff(cash/assets, 45), subindustry)",1,0,0.0
"0.25*group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry)",1,0,0.0
"1.5*group_rank(authorized_stock_buyback_amount/assets, subindustry)",1,0,0.0
"group_rank(authorized_stock_repurchase_amount/assets, subindustry)",1,1,1.0
"1.5*group_rank(common_stock_repurchase_payment/assets, subindustry)",1,0,0.0
"group_rank(anl4_fs_guidances_advanced_qf_nd_ffoa_maxguidance/assets, subindustry)",1,0,0.0
"group_rank(anl4_fs_guidances_advanced_af_nd_totassets_minguidance/assets, subindustry)",1,0,0.0
