leg,appear,pass_quality,pass_rate
"group_rank(fnd6_tstkc/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))",5,2,0.4
"group_rank(fnd6_newqv1300_fcaq/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))",5,4,0.8
"group_rank(anl4_fs_detail_estimates_advanced_af_nd_capex_number/assets, industry)",5,0,0.0
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_totgw_median/assets, industry)",5,0,0.0
"group_rank(-ts_mean(pcr_vol_10, 5), industry)",5,0,0.0
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_netdebt_high/assets, industry)",5,4,0.8
"group_rank(-ts_delta(close, 10), industry)",5,2,0.4
"group_rank(annual_intangible_amortization_expense_second_year/assets, subindustry)",5,0,0.0
"group_rank(accumulated_oci_net_of_tax_value/assets, subindustry)",5,0,0.0
"0.5*group_rank(-ts_delta(close, 8), subindustry)",5,0,0.0
"0.5*rank(volume/ts_mean(volume, 150))",5,0,0.0
"group_rank((eps - est_epsr)/assets, subindustry)",5,1,0.2
"group_rank(fnd6_xopr/assets,subindustry)",4,2,0.5
"0.5 * (group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry))",4,0,0.0
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_totgw_mean/assets, subindustry)",4,2,0.5
"group_rank(fnd6_tfvce/assets, subindustry)",4,0,0.0
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_cff_high/assets, bucket(rank(cap), range=""0.1, 1, 0.1""))",4,0,0.0
"group_rank(fnd6_xintopt/assets, bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1""))",4,4,1.0
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_totassets_mean/assets, bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1""))",4,4,1.0
"group_rank(-anl4_fs_detail_estimates_advanced_af_nd_capex_median/assets, bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1""))",4,4,1.0
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_ebit_low/assets, bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1""))",4,1,0.25
"group_rank(-anl4_fs_detail_estimate_1qf_v4_nd_fcf_low/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))",4,3,0.75
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_ebit_low/assets, bucket(rank(cap), range=""0.1, 1, 0.1""))",4,1,0.25
"group_rank(fnd6_newqv1300_tfvceq/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))",4,4,1.0
"group_rank(fnd6_cicurr/assets, bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1""))",4,3,0.75
"group_rank(ts_av_diff(cash/assets, 45), bucket(rank(sales/assets), range=""0.1, 1, 0.1""))",4,3,0.75
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(sales/assets), range=""0.1, 1, 0.1""))",4,3,0.75
"ts_rank(volume/ts_mean(volume, 60), 60)",4,0,0.0
"rank(-ts_corr(close, volume, 20))",4,0,0.0
"group_rank(fnd6_ivch/assets, subindustry)",4,1,0.25
"group_rank(-ts_delta(close, 4), subindustry)",4,4,1.0
"rank(volume/ts_mean(volume, 40))",4,4,1.0
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 90), subindustry)",4,3,0.75
"group_rank(fnd6_xrent/assets, industry)",4,4,1.0
"group_rank(fnd6_txtubpospinc/assets, subindustry)",4,1,0.25
