DUPROW: YP57jVzo  0909批次 group_rank(fnd6_mfma2_revt/assets, subindustry) + group_rank
DUPROW: YP57jVzo 2026-09-09T03:27:30-04:00 0909批次 group_rank(fnd6_mfma2_revt/assets, subindustry) + group_rank
PARSE_FAIL: 0
  w112_a KPOAOXEE SF 4.31 tS 1.52 status UNSUBMITTED
  w112_f WjPrPL0G SF 4.44 tS 2.42 status UNSUBMITTED
  w112_g xAY7YbKp SF 4.26 tS 2.11 status UNSUBMITTED
  w112_h mLgnglzE SF 4.85 tS 2.19 status UNSUBMITTED
  w112_j akLmLgGx SF 4.58 tS 1.9 status UNSUBMITTED
  w114_b P0ZLAN9J SF 4.61 tS 2.21 status UNSUBMITTED
  w114_c 78ZP2gj1 SF 4.81 tS 2.46 status UNSUBMITTED
  w114_d xAY7E9EJ SF 4.9 tS 2.7 status UNSUBMITTED
  w114_e zqY7L5No SF 4.76 tS 2.3 status UNSUBMITTED
  w114_f xAY7Ek1m SF 4.15 tS 2.0 status UNSUBMITTED
  w114_g mLgnlgo9 SF 4.0 tS 2.78 status UNSUBMITTED
  w114_h MP1v2gGn SF 4.9 tS 2.4 status UNSUBMITTED
  w114_i ZY0V1zqY SF 4.68 tS 2.29 status UNSUBMITTED
  w114_j 0mRZLbvr SF 4.78 tS 2.26 status UNSUBMITTED
  w114_k kqVpMxKl SF 4.67 tS 2.31 status UNSUBMITTED
  w114_m om6jX2Xn SF 4.13 tS 2.33 status UNSUBMITTED
  w114_n O0rdjnrv SF 4.62 tS 2.0 status UNSUBMITTED
  w114_o om6jXVml SF 5.32 tS 2.73 status UNSUBMITTED
  w115_c xAY7oGrn SF 4.36 tS 1.91 status UNSUBMITTED
  w115_e d5OJrkww SF 4.51 tS 1.69 status UNSUBMITTED
  w115_f d5OJrkmY SF 4.09 tS 2.14 status UNSUBMITTED
  w115_k XgWZApl8 SF 4.47 tS 3.42 status UNSUBMITTED
  w115_l Grdj5G8o SF 4.76 tS 4.02 status UNSUBMITTED
  w116_b KPOAM5xk SF 4.63 tS 2.02 status UNSUBMITTED
  w116_c P0ZLmLMp SF 4.98 tS 2.34 status UNSUBMITTED
  w116_f j23kkmdW SF 4.87 tS 2.15 status UNSUBMITTED
  w116_g RRVxxkoo SF 4.99 tS 2.6 status UNSUBMITTED
  w116_h MP1vv5Ea SF 4.63 tS 1.85 status UNSUBMITTED
  w116_i xAY77jLb SF 4.87 tS 2.07 status UNSUBMITTED
  w116_j d5OJJb2g SF 4.04 tS 1.69 status UNSUBMITTED
  w116_k 9qV558ae SF 4.71 tS 1.92 status UNSUBMITTED
  w116_l KPOAAz2x SF 4.26 tS 1.74 status UNSUBMITTED
  w116_m j23kkkKj SF 4.66 tS 2.1 status UNSUBMITTED
  w118_a d5OM2KXE SF 4.41 tS 2.06 status UNSUBMITTED
  w118_b KPOoKzqk SF 4.84 tS 2.4 status UNSUBMITTED
  w118_d YP5VjRzJ SF 4.41 tS 2.21 status UNSUBMITTED
  w118_e 3q9Kqr7e SF 4.21 tS 2.18 status UNSUBMITTED
  w118_f xAYLAgOW SF 4.3 tS 1.77 status UNSUBMITTED
  w118_g E5vj5YdL SF 4.95 tS 2.38 status UNSUBMITTED
  w118_i d5OM5QdJ SF 4.15 tS 1.48 status UNSUBMITTED
  w118_j gJQlJjbg SF 4.48 tS 2.49 status UNSUBMITTED
  w118_k pwP2wkkV SF 4.58 tS 2.19 status UNSUBMITTED
  w118_n 9qVeq3ld SF 4.09 tS 1.77 status UNSUBMITTED
  w119_a RRVOj2G1 SF 4.04 tS 1.93 status UNSUBMITTED
  w119_b akL0jNj1 SF 4.28 tS 2.95 status UNSUBMITTED
  w119_c WjPZ1PpP SF 4.44 tS 2.63 status UNSUBMITTED
  w119_d ZY08P0nQ SF 4.74 tS 2.12 status UNSUBMITTED
  w119_f blRmGJ9r SF 4.88 tS 2.69 status UNSUBMITTED
  w119_i j23pv2ej SF 4.54 tS 2.47 status UNSUBMITTED
  w119_j O0rLOajJ SF 4.7 tS 2.06 status UNSUBMITTED
  w119_k Grd2PVd0 SF 4.66 tS 2.16 status UNSUBMITTED
  w119_l npKj9Orw SF 4.75 tS 2.4 status UNSUBMITTED
  w120_r MP1rjMj9 SF 4.36 tS 2.08 status UNSUBMITTED
  w121_b N1QZX9mq SF 4.97 tS 2.73 status UNSUBMITTED
  w121_c 58QXZ7eX SF 4.64 tS 2.46 status UNSUBMITTED
  w121_d 3q9NMgk6 SF 5.3 tS 2.26 status UNSUBMITTED
  w121_e 883wm6LV SF 4.05 tS 2.83 status UNSUBMITTED
  w121_f j23759X5 SF 4.13 tS 1.53 status UNSUBMITTED
  w121_g 3q9NME20 SF 4.43 tS 1.99 status UNSUBMITTED
  w121_h j2375g8Z SF 4.08 tS 1.82 status UNSUBMITTED
  w121_i Jjx9VOze SF 4.25 tS 1.99 status UNSUBMITTED
  w122_b 883wqwVX SF 4.87 tS 2.24 status UNSUBMITTED
  w122_c KPO1elgN SF 4.63 tS 2.03 status UNSUBMITTED
  w122_d le8mxdn7 SF 4.4 tS 2.56 status UNSUBMITTED
  w122_e mLgvO9wp SF 4.4 tS 2.56 status UNSUBMITTED
  w122_j LL9Qekxa SF 4.33 tS 2.65 status UNSUBMITTED
  w122_k O0r3epMg SF 5.02 tS 2.7 status UNSUBMITTED
  w124_e 6XrkW6R5 SF 4.28 tS 2.78 status UNSUBMITTED
  w125_a blRe65g6 SF 4.13 tS 2.06 status UNSUBMITTED
  w125_c Vk6AxE1b SF 4.33 tS 3.01 status UNSUBMITTED
  w125_d j23qYr8O SF 4.13 tS 2.49 status UNSUBMITTED
  w125_f GrdZWbvO SF 4.18 tS 2.68 status UNSUBMITTED
  w125_g d5ONW3Kw SF 4.4 tS 2.56 status UNSUBMITTED
  w125_h 58QPEeOM SF 4.78 tS 2.4 status UNSUBMITTED
  w126_a E5pZ3p0L SF 4.4 tS 2.56 status UNSUBMITTED
  w126_b 58zZRz9k SF 4.4 tS 2.56 status UNSUBMITTED
  w126_c JjNVlJWW SF 4.4 tS 2.55 status UNSUBMITTED
  w126_d E5pZ3zEK SF 4.4 tS 2.55 status UNSUBMITTED
  w126_g P02JjJOx SF 4.53 tS 2.21 status UNSUBMITTED
  w126_h LLNPbLx6 SF 4.77 tS 2.82 status UNSUBMITTED
  w127_a KPNKY90N SF 4.4 tS 2.56 status UNSUBMITTED
  w131_h QPbPVOn5 SF 4.0 tS 1.48 status UNSUBMITTED
  w135_a O0N0GE6v SF 4.3 tS 1.49 status UNSUBMITTED
  w135_b 58z8poa1 SF 4.29 tS 1.35 status UNSUBMITTED
  w141_a rKOKjQP8 SF 4.11 tS 2.67 status UNSUBMITTED
  w145_a YPbP7YPo SF 4.01 tS 2.67 status UNSUBMITTED
  w145_f d5b5O2aw SF 4.01 tS 2.55 status UNSUBMITTED
  w146_b P020Z02E SF 4.47 tS 2.72 status UNSUBMITTED
  w146_c npdpKRMz SF 4.47 tS 3.12 status UNSUBMITTED
  w147_a QPbP3nwQ SF 4.14 tS 2.65 status UNSUBMITTED
  w147_b A1N10ObY SF 4.18 tS 2.81 status UNSUBMITTED
  w150_d zq8qYeOR SF 4.05 tS 1.41 status UNSUBMITTED
  w150_e omLm608J SF 4.15 tS 1.42 status UNSUBMITTED
  w152_a JjNjNmVA SF 4.0 tS 1.88 status UNSUBMITTED
  w152_c Xgbgb2Q1 SF 4.01 tS 1.96 status UNSUBMITTED
  w152_f 88j8jelq SF 4.33 tS 1.63 status UNSUBMITTED
  w152_g A1N1NGjY SF 4.06 tS 1.92 status UNSUBMITTED
  w154_a O0N0NAKv SF 4.0 tS 2.13 status UNSUBMITTED
  w154_b vRrRrA2d SF 4.01 tS 2.13 status UNSUBMITTED
  w154_e GrbrbxGP SF 4.06 tS 2.16 status UNSUBMITTED
  w154_f 1YXYX2WM SF 4.04 tS 2.07 status UNSUBMITTED
  w154_g 9qjqjO7r SF 4.02 tS 2.11 status UNSUBMITTED
  w154_h RRbR6Jjd SF 4.08 tS 2.2 status UNSUBMITTED
  w158_01 XgbgNwna SF 6.82 tS 2.07 status UNSUBMITTED
  w158_02 d5b59n6K SF 6.71 tS 2.0 status UNSUBMITTED
  w158_03 vRrRYmxa SF 6.71 tS 2.1 status UNSUBMITTED
  w158_04 qMxM5j1A SF 6.74 tS 2.15 status UNSUBMITTED
  w158_05 GrbrQbWZ SF 6.65 tS 2.24 status UNSUBMITTED
  w158_06 P020P5MM SF 6.43 tS 1.71 status UNSUBMITTED
  w158_07 blblxz5M SF 6.51 tS 1.91 status UNSUBMITTED
  w159_00 A1N1eOvd SF 5.94 tS 1.83 status UNSUBMITTED
  w159_02 E5p5NGzr SF 5.46 tS 1.36 status UNSUBMITTED
  w159_03 A1N1e7YW SF 5.45 tS 1.38 status UNSUBMITTED
  w159_04 E5p5NVkR SF 5.74 tS 2.12 status UNSUBMITTED
  w159_05 xA3AVvGw SF 5.65 tS 2.17 status UNSUBMITTED
  w159_06 d5b5YP8j SF 5.65 tS 2.02 status UNSUBMITTED
  w159_07 A1N1e5pd SF 5.43 tS 1.49 status UNSUBMITTED
  w160_00 omLmJvPl SF 5.57 tS 2.11 status UNSUBMITTED
  w161_00 A1N1mVMw SF 6.18 tS 2.37 status UNSUBMITTED
  w161_02 58z8eK91 SF 5.13 tS 1.62 status UNSUBMITTED
  w161_03 qMxMV8NA SF 5.68 tS 2.19 status UNSUBMITTED
  w161_04 N1a18988 SF 4.56 tS 2.12 status UNSUBMITTED
  w161_06 d5b5voEJ SF 5.56 tS 2.12 status UNSUBMITTED
  w161_08 MPaPVYpM SF 4.25 tS 2.12 status UNSUBMITTED
  w161_11 0mXmakR1 SF 4.01 tS 2.03 status UNSUBMITTED
  w162_00 mLmLW6E6 SF 6.05 tS 2.77 status UNSUBMITTED
  w162_01 6XjXLKAO SF 5.11 tS 1.51 status UNSUBMITTED
  w162_02 58z8dKZJ SF 4.92 tS 2.25 status UNSUBMITTED
  w162_03 QPbPpA8W SF 4.95 tS 2.28 status UNSUBMITTED
  w162_04 N1a1Ewqp SF 5.11 tS 1.73 status UNSUBMITTED
  w162_06 XgbgZLZX SF 5.81 tS 1.81 status UNSUBMITTED
  w162_07 88j8WlMl SF 4.32 tS 2.4 status UNSUBMITTED
  w162_09 LLNLvV82 SF 4.33 tS 2.19 status UNSUBMITTED
  w164_00 xA3ALQgw SF 5.43 tS 2.18 status UNSUBMITTED
  w164_01 Grbr2YO5 SF 5.31 tS 1.76 status UNSUBMITTED
  w164_02 MPaPEQGn SF 5.0 tS 3.09 status UNSUBMITTED
  w164_03 LLNLv7b9 SF 4.92 tS 1.37 status UNSUBMITTED
  w164_04 KPNPoMAz SF 5.86 tS 1.82 status UNSUBMITTED
  w164_05 9qjqeMn1 SF 5.11 tS 1.86 status UNSUBMITTED
  w164_06 6XjXk7nO SF 4.8 tS 2.47 status UNSUBMITTED
  w165_00 blblwneR SF 4.48 tS 2.4 status UNSUBMITTED
  w165_01 O0N0l8LR SF 4.86 tS 2.12 status UNSUBMITTED
  w165_02 1YXYrYLm SF 4.52 tS 1.59 status UNSUBMITTED
  w165_04 RRbRGr0o SF 4.99 tS 1.89 status UNSUBMITTED
  w165_08 O0NQ1mpd SF 4.22 tS 1.59 status UNSUBMITTED
  w166_00 9qjqNl1r SF 4.86 tS 2.5 status UNSUBMITTED
  w166_02 78N8e57v SF 4.65 tS 2.21 status UNSUBMITTED
  w182_01 1YXQJRoX SF 6.69 tS 3.13 status UNSUBMITTED
  w185_01 ZYbebzJY SF 6.22 tS 2.56 status UNSUBMITTED
  w185_05 akbqb5o6 SF 4.05 tS 1.45 status UNSUBMITTED
